Task ID,Age Group,Intelligence Area,Skill Area,Task Description,UUID,Rubric,Task Status
32,8-11,Verbal-Linguistic,Interviewing,Pretend to interview an animal about its habitat.,9b990827-37fe-48be-a516-49046141c3d2,🪨 to 🌻,Not Started
33,8-11,Verbal-Linguistic,Poetry Writing,Write a haiku or poem inspired by a wild experience.,2e37a6bc-8120-4a0f-8759-dadf30af82f3,🪨 to 🌻,Not Started
34,8-11,Verbal-Linguistic,Vocabulary Building,Create a nature glossary with new wild-themed words.,e56673cd-ff2a-421b-a8de-15a78f23945a,🪨 to 🌻,Not Started
35,8-11,Verbal-Linguistic,Report Writing,Write a field report about your outdoor observation.,d0d7d28f-7522-4aed-8a9e-54d00e5e1708,🪨 to 🌻,Not Started
36,8-11,Verbal-Linguistic,Metaphors and Similes,Use metaphors to describe nature (e.g. the wind is a whisper).,ba215041-e187-4511-abd4-0e81c9b94126,🪨 to 🌻,Not Started
37,12-17,Visual-Spatial,Artistic Abilities,"Create a collage using natural objects like leaves, flowers, and sticks.",100c6f63-ab21-41db-9b73-fa14b93878f7,🪨 to 🌻,Not Started
38,12-17,Visual-Spatial,3D Spatial Skills,"Build a 3D sculpture from stones, clay, and twigs to represent a wild creature.",9816efc1-26aa-4470-a956-f01214b70751,🪨 to 🌻,Not Started
39,12-17,Visual-Spatial,Pattern Recognition,"Make symmetrical patterns using shells, pebbles, and leaves.",f35a4249-2cb2-4a37-bbb4-eeeea127e5be,🪨 to 🌻,Not Started
40,12-17,Visual-Spatial,Geometry Awareness,Form basic geometric shapes using twigs and string in outdoor space.,a6634f94-4aaf-40f5-8f8f-c6cf5e3f13e8,🪨 to 🌻,Not Started
41,12-17,Visual-Spatial,Map Reading,Sketch a treasure map of your school compound with a hidden nature clue.,e53a007f-cada-4435-b559-a7afef1f7bd4,🪨 to 🌻,Not Started
42,12-17,Visual-Spatial,Symbol Use,Design a symbol or logo inspired by a wild animal using drawing materials.,a10692e6-4def-429a-bcff-1ac9e0a31b8a,🪨 to 🌻,Not Started
43,12-17,Visual-Spatial,Puzzle Solving,Assemble a nature-themed jigsaw puzzle or create your own.,685d75b5-208f-4c30-938e-8fc46d4a290f,🪨 to 🌻,Not Started
44,12-17,Visual-Spatial,Perspective Drawing,Draw a scene from nature from a bird’s eye and worm’s eye view.,57df8b4d-730c-40f1-b1aa-d7701b59ad3f,🪨 to 🌻,Not Started
45,12-17,Visual-Spatial,Visual Interpretation,Match shadows to objects in nature and sketch the results.,9ce96b0d-d204-4e40-ab6f-e77fdfea3622,🪨 to 🌻,Not Started
46,12-17,Verbal-Linguistic,Storytelling,Tell or write a story about a magical tree that saves animals.,4e2928bd-6bcd-4dac-a146-f2743d7d68e0,🪨 to 🌻,Not Started
47,12-17,Verbal-Linguistic,Persuasion,Write a persuasive speech about protecting your favorite wild space.,9959af91-efbd-42a2-9db9-9cea16345ede,🪨 to 🌻,Not Started
48,12-17,Verbal-Linguistic,Descriptive Writing,Describe a walk in the wild using vivid sensory words.,ccd0c517-4b4f-405a-b5e7-394f2d03899a,🪨 to 🌻,Not Started
49,12-17,Verbal-Linguistic,Public Speaking,Present a 1-minute speech on 'Why Nature Needs Us'.,c1d5518d-04bb-4776-8624-9224fa2ec639,🪨 to 🌻,Not Started
50,12-17,Verbal-Linguistic,Interviewing,Pretend to interview an animal about its habitat.,65a0f594-4d25-4a83-9610-d7aef4721eee,🪨 to 🌻,Not Started
51,12-17,Verbal-Linguistic,Poetry Writing,Write a haiku or poem inspired by a wild experience.,41979f4f-f7db-4174-a5ea-162f321cdad1,🪨 to 🌻,Not Started
52,12-17,Verbal-Linguistic,Vocabulary Building,Create a nature glossary with new wild-themed words.,7a774f39-fcf8-4710-9e3c-fe727f769bda,🪨 to 🌻,Not Started
53,12-17,Verbal-Linguistic,Report Writing,Write a field report about your outdoor observation.,d8253a54-7618-44d5-b553-937287499c3a,🪨 to 🌻,Not Started
54,12-17,Verbal-Linguistic,Metaphors and Similes,Use metaphors to describe nature (e.g. the wind is a whisper).,4192297e-fbac-45b9-b1bd-98677e11b3b5,🪨 to 🌻,Not Started
55,18-24,Visual-Spatial,Artistic Abilities,"Create a collage using natural objects like leaves, flowers, and sticks.",edc95821-5f57-4ea8-8fa6-c744e137c015,🪨 to 🌻,Not Started
56,18-24,Visual-Spatial,3D Spatial Skills,"Build a 3D sculpture from stones, clay, and twigs to represent a wild creature.",e2ddeda5-3c9d-4cb6-8851-99e28db4b582,🪨 to 🌻,Not Started
57,18-24,Visual-Spatial,Pattern Recognition,"Make symmetrical patterns using shells, pebbles, and leaves.",4ebd518c-da54-42c0-ac93-a7b8bcd7d689,🪨 to 🌻,Not Started
58,18-24,Visual-Spatial,Geometry Awareness,Form basic geometric shapes using twigs and string in outdoor space.,e275b26c-d6ae-4064-8283-1a69af42a834,🪨 to 🌻,Not Started
59,18-24,Visual-Spatial,Map Reading,Sketch a treasure map of your school compound with a hidden nature clue.,a97aae00-fa77-49b3-91af-d07816ca4eb0,🪨 to 🌻,Not Started
60,18-24,Visual-Spatial,Symbol Use,Design a symbol or logo inspired by a wild animal using drawing materials.,e03f106a-722b-4a25-8337-d72a5f87d5a8,🪨 to 🌻,Not Started
61,18-24,Visual-Spatial,Puzzle Solving,Assemble a nature-themed jigsaw puzzle or create your own.,192c7bcd-31ed-41a8-8374-6478d097c33b,🪨 to 🌻,Not Started
62,18-24,Visual-Spatial,Perspective Drawing,Draw a scene from nature from a bird’s eye and worm’s eye view.,4f81afa3-22c8-4553-a5b3-865aef202bba,🪨 to 🌻,Not Started
63,18-24,Visual-Spatial,Visual Interpretation,Match shadows to objects in nature and sketch the results.,517285ab-5b0a-4701-8134-e8ca8a0d0f10,🪨 to 🌻,Not Started
64,18-24,Verbal-Linguistic,Storytelling,Tell or write a story about a magical tree that saves animals.,fada9271-097d-4e66-99c6-f04a07a5bd58,🪨 to 🌻,Not Started
65,18-24,Verbal-Linguistic,Persuasion,Write a persuasive speech about protecting your favorite wild space.,3d0a282a-1575-4ecd-8a5c-6d183569bb23,🪨 to 🌻,Not Started
66,18-24,Verbal-Linguistic,Descriptive Writing,Describe a walk in the wild using vivid sensory words.,9167512e-e83e-4ade-9edd-6cca25918a10,🪨 to 🌻,Not Started
67,18-24,Verbal-Linguistic,Public Speaking,Present a 1-minute speech on 'Why Nature Needs Us'.,b9da2c6c-1aad-4d3d-9749-49a2a6e41737,🪨 to 🌻,Not Started
68,18-24,Verbal-Linguistic,Interviewing,Pretend to interview an animal about its habitat.,7f7bacdd-f241-4149-9c92-d2efe64d08c1,🪨 to 🌻,Not Started
69,18-24,Verbal-Linguistic,Poetry Writing,Write a haiku or poem inspired by a wild experience.,18b2a77b-a003-4ff2-b775-2a4e921c22ed,🪨 to 🌻,Not Started
70,18-24,Verbal-Linguistic,Vocabulary Building,Create a nature glossary with new wild-themed words.,804bff3e-3294-4d1c-8ef8-e891c238e88a,🪨 to 🌻,Not Started
71,18-24,Verbal-Linguistic,Report Writing,Write a field report about your outdoor observation.,4f489410-e0a9-4167-b777-aa875af2b929,🪨 to 🌻,Not Started
72,18-24,Verbal-Linguistic,Metaphors and Similes,Use metaphors to describe nature (e.g. the wind is a whisper).,27416a84-256c-424e-a59d-808f940e4b2f,🪨 to 🌻,Not Started
